owner,family,model_name,is_50,manual_sync,lag,manual_intensity,code,manual_code,manual_lag,manual_pattern,auto_lag,auto_syncs,auto_intensity,auto_code,auto_pattern_name,differences
naver,naver_efficient,4,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
nbroad,nbroad_ESG-BERT,1,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
neulab,neulab_codebert,4,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
neuralmind,neuralmind_bert,2,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
nlpaueb,nlpaueb_legal-bert,1,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
nomic-ai,nomic-ai_gpt4all,1,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
nomic-ai,nomic-ai_nomic,4,NO,PS,VL,S,PSVLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
NousResearch,NousResearch_subnet,2,NO,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
NousResearch,NousResearch_Yarn-Mistral,1,NO,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
obi,obi_deid_roberta,1,NO,PS,NL,R,PSNLR,PSR,No Lag,Sparse Alignment Pattern,No Lag,PS,R,PSR,Sparse Alignment Pattern,TRUE
oliverguhr,oliverguhr_fullstop,1,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
oliverguhr,oliverguhr_german-sentiment,1,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
openai-community,openai-community_gpt2,4,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
openai-community,openai-community_openai,1,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
openai-community,openai-community_roberta,2,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
openbmb,openbmb_MiniCPM,1,NO,CS,NL,S,CSNLS,CSS,No Lag,Intermittent Alignment Pattern,No Lag,CS,S,CSS,Intermittent Alignment Pattern,TRUE
openchat,openchat_openchat,5,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
Open-Orca,Open-Orca_OpenOrca,2,NO,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
protectai,protectai_llm-guard,4,YES,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,FALSE
pszemraj,pszemraj_long-t5,1,NO,PS,GL,S,PSGLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
Qwen,Qwen_CodeQwen,2,NO,CS,NL,R,CSNLR,CSR,No Lag,Rare Alignment Pattern,No Lag,CS,R,CSR,Rare Alignment Pattern,TRUE
