owner,model_name,family,downloads,likes,created_at_main,last_modified_main,age,adoption,library_name,pipeline_tag,cleaned_github,model_size_million_bytes,previous_size_category,agg_size,size_category,lag,transient,name,whichstop,Jimmy,Adekunle
emrecan,emrecan/bert-base-turkish-cased-mean-nli-stsb-tr,emrecan_bert,100881,21,3/2/2022,1/24/2022,903,111.717608,sentence-transformers,sentence-similarity,https://github.com/emrecncelik/zeroshot-turkish,0,unknown,0,unknown,none,asynchronous activity pattern,Async-activity ,,,
KB,KB/bert-base-swedish-cased,KB_bert,19619,16,6/7/2022,6/7/2022,806,24.34119107,transformers,fill-mask,https://github.com/kb-labb/swedish-sbert,0,unknown,0,unknown,none,asynchronous activity pattern,Async-activity ,,,
KB,KB/bert-base-swedish-cased-ner,KB_bert,148673,4,6/7/2022,6/7/2022,806,184.4578164,transformers,token-classification,https://github.com/kb-labb/swedish-sbert,0,unknown,0,unknown,none,asynchronous activity pattern,Async-activity ,,,
nbroad,nbroad/ESG-BERT,nbroad_ESG-BERT,15496,55,7/16/2023,7/16/2023,402,38.54726368,transformers,text-classification,https://github.com/mukut03/ESG-BERT,109.502746,small,109.502746,small,none,asynchronous activity pattern,Async-activity ,,,
SCUT-DLVCLab,SCUT-DLVCLab/lilt-roberta-en-base,SCUT-DLVCLab_lilt-roberta,12220,15,9/29/2022,8/31/2023,692,17.65895954,transformers,feature-extraction,https://github.com/jpwang/lilt,130.755522,small,130.755522,small,none,asynchronous activity pattern,Async-activity ,,,
ai-forever,ai-forever/sbert_large_nlu_ru,ai-forever_sbert,1395912,48,7/31/2023,10/4/2023,387,3607.007752,transformers,feature-extraction,https://github.com/ai-forever/ner-bert,13000,large,13000,large,none,complementary pattern,Complementary ,,,
amberoad,amberoad/bert-multilingual-passage-reranking-msmarco,amberoad_bert,13943,73,3/2/2022,8/26/2022,903,15.44075305,transformers,text-classification,https://github.com/google-research/bert,110,small,110,small,none,complementary pattern,Complementary ,,,
Babelscape,Babelscape/rebel-large,Babelscape_rebel,27889,195,3/2/2022,6/20/2023,903,30.88482835,transformers,text2text-generation,https://github.com/Babelscape/cner,406.348896,medium,406.348896,medium,none,complementary pattern,Complementary ,,,
castorini,castorini/monot5-base-msmarco,castorini_msmarco,18794,6,3/2/2022,11/5/2021,903,20.81284607,transformers,text2text-generation,https://github.com/castorini/rank_llm,0,unknown,0,unknown,none,complementary pattern,Complementary ,,,
castorini,castorini/tct_colbert-v2-hnp-msmarco,castorini_msmarco,16004,4,9/27/2023,9/27/2023,329,48.6443769,transformers,feature-extraction,https://github.com/castorini/rank_llm,0,unknown,0,unknown,none,complementary pattern,Complementary ,,,
dccuchile,dccuchile/bert-base-spanish-wwm-cased,dccuchile_bert,54428,45,3/2/2022,1/18/2024,903,60.27464009,transformers,fill-mask,https://github.com/dccuchile/spanish-word-embeddings,0,unknown,0,unknown,none,complementary pattern,Complementary ,,,
dccuchile,dccuchile/bert-base-spanish-wwm-uncased,dccuchile_bert,234541,54,3/2/2022,1/18/2024,903,259.7353267,transformers,fill-mask,https://github.com/dccuchile/spanish-word-embeddings,0,unknown,0,unknown,none,complementary pattern,Complementary ,,,
DeepMount00,DeepMount00/Llama-3-8b-Ita,DeepMount00_Llama,21252,20,1/30/2024,2/21/2024,204,104.1764706,transformers,text-generation,https://github.com/deeppavlov/dream,8030.261248,large,4015.130624,large,none,complementary pattern,Complementary ,,,
edumunozsala,edumunozsala/roberta_bne_sentiment_analysis_es,edumunozsala_roberta,18031,7,3/2/2022,12/12/2021,903,19.96788483,transformers,text-classification,https://github.com/edumunozsala/RoBERTa_Encoder_Decoder_Product_Names,124.64538,small,124.64538,small,none,complementary pattern,Complementary ,,,
Elron,Elron/bleurt-base-128,Elron_bleurt,532792,1,3/2/2022,11/26/2022,903,590.0243632,transformers,text-classification,https://github.com/elronbandel/lexical-generalization,128,small,320,medium,none,complementary pattern,Complementary ,,,
Elron,Elron/bleurt-tiny-512,Elron_bleurt,21147,2,6/22/2022,6/22/2022,791,26.73451327,transformers,text-classification,https://github.com/elronbandel/lexical-generalization,512,medium,320,medium,none,complementary pattern,Complementary ,,,
EmbeddedLLM,EmbeddedLLM/bge-reranker-base-onnx-o3-cpu,EmbeddedLLM_bge,981000,2,6/18/2024,6/20/2024,64,15328.125,transformers,sentence-similarity,https://github.com/EmbeddedLLM/JamAIBase,0,unknown,0,unknown,none,complementary pattern,Complementary ,,,
eugenesiow,eugenesiow/bart-paraphrase,eugenesiow_bart-paraphrase,17408,25,3/2/2022,3/28/2023,903,19.27796235,transformers,text2text-generation,https://github.com/eugenesiow/LLM-Insights,406.341721,medium,406.341721,medium,none,complementary pattern,Complementary ,,,
facebook,facebook/hubert-base-ls960,facebook_hubert,153992,40,2/15/2023,9/27/2023,553,278.4665461,transformers,feature-extraction,https://github.com/facebookresearch/av_hubert,418,medium,418,medium,none,complementary pattern,Complementary ,,,
facebook,facebook/roberta-hate-speech-dynabench-r4-target,facebook_roberta,97077,51,3/6/2023,6/9/2023,534,181.7921348,transformers,text-classification,https://github.com/facebookresearch/dynabench,600,medium,600,medium,none,complementary pattern,Complementary ,,,
facebook,facebook/w2v-bert-2.0,facebook_mbart,41087,122,6/7/2022,1/24/2023,806,50.9764268,transformers,feature-extraction,https://github.com/facebookresearch/fairseq2,1300,medium,848.603777,medium,none,complementary pattern,Complementary ,,,
facebook,facebook/xglm-2.9B,facebook_xlm,38068,9,6/7/2022,1/24/2023,806,47.23076923,transformers,text-generation,https://github.com/facebookresearch/XLM,3300,medium,2254.666667,medium,none,complementary pattern,Complementary ,,,
facebook,facebook/xglm-564M,facebook_xlm,14363,43,5/11/2022,9/15/2023,833,17.242497,transformers,text-generation,https://github.com/facebookresearch/XLM,564,medium,2254.666667,medium,none,complementary pattern,Complementary ,,,
facebook,facebook/xlm-roberta-xl,facebook_xlm,27595,22,3/2/2022,10/20/2021,903,30.55924695,transformers,fill-mask,https://github.com/facebookresearch/XLM,2900,medium,2254.666667,medium,none,complementary pattern,Complementary ,,,
google,google/muril-base-cased,google_muril,60246,29,3/2/2022,1/24/2023,903,66.71760797,transformers,fill-mask,https://github.com/google-research/spade_anomaly_detection,64,small,96,small,none,complementary pattern,Complementary ,,,
google,google/muril-large-cased,google_muril,12827,17,3/2/2022,1/24/2023,903,14.20487265,transformers,feature-extraction,https://github.com/google-research/spade_anomaly_detection,128,small,96,small,none,complementary pattern,Complementary ,,,
jinaai,jinaai/jina-clip-v1,jinaai_jina,12384,158,9/27/2023,5/15/2024,329,37.64133739,transformers,feature-extraction,https://github.com/jina-ai/finetuner,32.690688,small,148.0112274,small,none,complementary pattern,Complementary ,,,
jinaai,jinaai/jina-embeddings-v2-base-code,jinaai_jina,10280,32,1/10/2024,8/6/2024,224,45.89285714,sentence-transformers,feature-extraction,https://github.com/jina-ai/finetuner,137.36832,small,148.0112274,small,none,complementary pattern,Complementary ,,,
jinaai,jinaai/jina-embeddings-v2-base-de,jinaai_jina,34357,56,7/9/2023,10/13/2023,409,84.00244499,sentence-transformers,feature-extraction,https://github.com/jina-ai/finetuner,160.813824,small,148.0112274,small,none,complementary pattern,Complementary ,,,
jinaai,jinaai/jina-embeddings-v2-base-en,jinaai_jina,125545,646,7/21/2023,9/10/2023,397,316.2342569,sentence-transformers,feature-extraction,https://github.com/jina-ai/finetuner,160.813824,small,148.0112274,small,none,complementary pattern,Complementary ,,,
jinaai,jinaai/jina-embeddings-v2-base-es,jinaai_jina,10135,17,1/24/2024,8/6/2024,210,48.26190476,sentence-transformers,feature-extraction,https://github.com/jina-ai/finetuner,160.850688,small,148.0112274,small,none,complementary pattern,Complementary ,,,
jinaai,jinaai/jina-embeddings-v2-base-zh,jinaai_jina,16601,131,7/7/2023,10/13/2023,411,40.39172749,sentence-transformers,feature-extraction,https://github.com/jina-ai/finetuner,160.86912,small,148.0112274,small,none,complementary pattern,Complementary ,,,
jinaai,jinaai/jina-embeddings-v2-small-en,jinaai_jina,108612,114,7/6/2023,10/13/2023,412,263.6213592,sentence-transformers,feature-extraction,https://github.com/jina-ai/finetuner,222.672128,medium,148.0112274,small,none,complementary pattern,Complementary ,,,
m3hrdadfi,m3hrdadfi/typo-detector-distilbert-en,m3hrdadfi_typo-detector,18617,6,3/2/2022,10/12/2021,903,20.61683278,transformers,token-classification,https://github.com/m3hrdadfi/albert-persian,0,unknown,0,unknown,none,complementary pattern,Complementary ,,,
microsoft,microsoft/Orca-2-7b,microsoft_Orca,12170,207,5/19/2024,5/22/2024,94,129.4680851,transformers,text-generation,https://github.com/databrickslabs/dolly,558.945282,medium,558.945282,medium,none,complementary pattern,Complementary ,,,
microsoft,microsoft/phi-1,microsoft_phi-1,25395,195,2/17/2023,3/20/2023,551,46.08892922,transformers,text-generation,https://github.com/microsoft/SafeNLP,0,unknown,1910.539776,medium,none,complementary pattern,Complementary ,,,
microsoft,microsoft/phi-1_5,microsoft_phi-1,112646,1291,3/2/2022,9/22/2022,903,124.7464009,transformers,text-generation,https://github.com/microsoft/SafeNLP,3821.079552,medium,1910.539776,medium,none,complementary pattern,Complementary ,,,
openai-community,openai-community/openai-gpt,openai-community_openai,49444,230,3/2/2022,2/19/2024,903,54.75526024,transformers,text-generation,https://github.com/openai/finetune-transformer-lm,1607.942848,medium,1607.942848,medium,none,complementary pattern,Complementary ,,,
teknium,teknium/OpenHermes-2-Mistral-7B,teknium_OpenHermes,10153,254,10/12/2023,11/2/2023,314,32.3343949,transformers,text-generation,https://github.com/teknium1/LLM-Benchmark-Logs,7000,large,7000,large,none,complementary pattern,Complementary ,,,
uw-madison,uw-madison/mra-base-512-4,uw-madison_mra-model,13326,0,6/23/2023,7/10/2023,425,31.35529412,transformers,fill-mask,https://github.com/mlpen/mra-attention,512,medium,512,medium,none,complementary pattern,Complementary ,,,
Efficient-Large-Model,Efficient-Large-Model/Llama-3-VILA1.5-8B,Efficient-Large-Model_VILA,45186,18,4/30/2024,7/18/2024,113,399.8761062,transformers,text-generation,https://github.com/Efficient-Large-Model/VILA,3000,medium,20800,large,upstream,divergent pattern,Divergent ,,,
Efficient-Large-Model,Efficient-Large-Model/VILA1.5-13b,Efficient-Large-Model_VILA,1020639,1,5/3/2024,7/18/2024,110,9278.536364,transformers,text-generation,https://github.com/Efficient-Large-Model/VILA,8000,large,20800,large,upstream,divergent pattern,Divergent ,,,
Efficient-Large-Model,Efficient-Large-Model/VILA1.5-3b,Efficient-Large-Model_VILA,37011,2,5/3/2024,7/18/2024,110,336.4636364,transformers,text-generation,https://github.com/Efficient-Large-Model/VILA,13000,large,20800,large,upstream,divergent pattern,Divergent ,,,
Efficient-Large-Model,Efficient-Large-Model/VILA1.5-40b,Efficient-Large-Model_VILA,574312,7,4/30/2024,7/18/2024,113,5082.40708,transformers,text-generation,https://github.com/Efficient-Large-Model/VILA,40000,large,20800,large,upstream,divergent pattern,Divergent ,,,
Efficient-Large-Model,Efficient-Large-Model/VILA1.5-40b-AWQ,Efficient-Large-Model_VILA,178396,2,5/3/2024,7/18/2024,110,1621.781818,transformers,text-generation,https://github.com/Efficient-Large-Model/VILA,40000,large,20800,large,upstream,divergent pattern,Divergent ,,,
dbmdz,dbmdz/bert-base-german-cased,dbmdz_bert,17892,15,3/2/2022,9/6/2023,903,19.81395349,transformers,fill-mask,https://github.com/dbmdz/berts,0,unknown,133.8403598,small,downstream,divergent pattern,Divergent ,,,
dbmdz,dbmdz/bert-base-german-uncased,dbmdz_bert,288749,17,3/2/2022,9/6/2023,903,319.7663344,transformers,fill-mask,https://github.com/dbmdz/berts,110.55091,small,133.8403598,small,downstream,divergent pattern,Divergent ,,,
dbmdz,dbmdz/bert-base-italian-uncased,dbmdz_bert,23787,6,3/2/2022,9/6/2023,903,26.34219269,transformers,fill-mask,https://github.com/dbmdz/berts,110.552448,small,133.8403598,small,downstream,divergent pattern,Divergent ,,,
dbmdz,dbmdz/bert-base-italian-xxl-cased,dbmdz_bert,191446,22,3/2/2022,9/10/2023,903,212.0110742,transformers,fill-mask,https://github.com/dbmdz/berts,111.321448,small,133.8403598,small,downstream,divergent pattern,Divergent ,,,
dbmdz,dbmdz/bert-large-cased-finetuned-conll03-english,dbmdz_bert,442167,57,3/2/2022,9/23/2021,903,489.6644518,transformers,token-classification,https://github.com/dbmdz/berts,137.028864,small,133.8403598,small,downstream,divergent pattern,Divergent ,,,
dbmdz,dbmdz/german-gpt2,dbmdz_bert,50954,24,3/2/2022,9/6/2023,903,56.42746401,transformers,text-generation,https://github.com/dbmdz/berts,333.588489,medium,133.8403598,small,downstream,divergent pattern,Divergent ,,,
kuelumbus,kuelumbus/polyBERT,kuelumbus_polyBERT,285472,3,9/15/2022,7/18/2023,706,404.3512748,sentence-transformers,sentence-similarity,https://github.com/Ramprasad-Group/polyBERT,0,unknown,0,unknown,upstream,divergent pattern,Divergent ,,,
bhadresh-savani,bhadresh-savani/bert-base-uncased-emotion,bhadresh-savani,115002,31,3/2/2022,3/22/2023,903,127.3554817,transformers,text-classification,https://github.com/bhadreshpsavani/ExploringSentimentalAnalysis,66.958086,small,88.222726,small,downstream,divergent pattern,Divergent ,upstream,,
bhadresh-savani,bhadresh-savani/distilbert-base-uncased-emotion,bhadresh-savani,70442,102,3/28/2022,3/22/2023,877,80.32155074,transformers,text-classification,https://github.com/bhadreshpsavani/ExploringSentimentalAnalysis,109.487366,small,88.222726,small,downstream,divergent pattern,Divergent ,upstream,,
1-800-BAD-CODE,1-800-BAD-CODE/xlm-roberta_punctuation_fullstop_truecase,1-800-BAD-CODE_XLM-ROBERTA,17123,42,3/11/2023,3/19/2023,529,32.36862004,generic,text2text-generation,https://github.com/1-800-BAD-CODE/punctuators,34388.91725,large,34388.91725,large,downstream,divergent pattern,Divergent ,,,
ai-forever,ai-forever/mGPT,ai-forever_gpt,17357,235,3/11/2024,4/3/2024,163,106.4846626,transformers,text-generation,https://github.com/ai-forever/ru-gpts,426.908672,medium,368.9817344,medium,none,divergent pattern,Divergent ,,,
ai-forever,ai-forever/ruBert-base,ai-forever_gpt,19512,22,3/11/2024,4/3/2024,163,119.7055215,transformers,fill-mask,https://github.com/ai-forever/ru-gpts,125,small,368.9817344,medium,none,divergent pattern,Divergent ,,,
ai-forever,ai-forever/rugpt3large_based_on_gpt2,ai-forever_gpt,31108,70,7/29/2023,8/2/2024,389,79.96915167,transformers,text-generation,https://github.com/ai-forever/ru-gpts,178,small,368.9817344,medium,none,divergent pattern,Divergent ,,,
ai-forever,ai-forever/rugpt3small_based_on_gpt2,ai-forever_gpt,14606,27,3/11/2024,4/18/2024,163,89.60736196,transformers,text-generation,https://github.com/ai-forever/ru-gpts,355,medium,368.9817344,medium,none,divergent pattern,Divergent ,,,
ai-forever,ai-forever/ruRoberta-large,ai-forever_gpt,21787,36,3/11/2024,4/4/2024,163,133.6625767,transformers,fill-mask,https://github.com/ai-forever/ru-gpts,760,medium,368.9817344,medium,none,divergent pattern,Divergent ,,,
bayartsogt,bayartsogt/albert-mongolian,bayartsogt_albert,18022,4,3/2/2022,3/17/2023,903,19.95791805,transformers,fill-mask,https://github.com/bayartsogt-ya/albert-mongolian,11.81381,small,11.81381,small,downstream,divergent pattern,Divergent ,,,
GroNLP,GroNLP/gpt2-small-dutch,GroNLP_gpt,19873,4,3/2/2022,5/18/2021,903,22.00775194,transformers,text-generation,https://github.com/wietsedv/gpt2-recycle,129.145344,small,129.145344,small,none,divergent pattern,Divergent ,,,
jhgan,jhgan/ko-sbert-nli,jhgan_ko-model,27466,14,3/2/2022,6/13/2022,903,30.41638981,sentence-transformers,sentence-similarity,https://github.com/jhgan00/ko-sentence-transformers,0,unknown,0,unknown,none,divergent pattern,Divergent ,,,
jhgan,jhgan/ko-sroberta-multitask,jhgan_ko-model,424575,62,3/2/2022,8/16/2022,903,470.1827243,sentence-transformers,sentence-similarity,https://github.com/jhgan00/ko-sentence-transformers,0,unknown,0,unknown,none,divergent pattern,Divergent ,,,
jhgan,jhgan/ko-sroberta-nli,jhgan_ko-model,32732,2,3/2/2022,8/16/2022,903,36.24806202,sentence-transformers,sentence-similarity,https://github.com/jhgan00/ko-sentence-transformers,0,unknown,0,unknown,none,divergent pattern,Divergent ,,,
oliverguhr,oliverguhr/fullstop-punctuation-multilang-large,oliverguhr_fullstop,957216,129,3/2/2022,11/16/2023,903,1060.039867,transformers,token-classification,https://github.com/oliverguhr/fullstop-deep-punctuation-prediction,558.847496,medium,558.847496,medium,downstream,divergent pattern,Divergent ,,,
oliverguhr,oliverguhr/german-sentiment-bert,oliverguhr_german-sentiment,565819,50,3/2/2022,3/16/2023,903,626.5991141,transformers,text-classification,https://github.com/oliverguhr/german-sentiment,109.083651,small,109.083651,small,downstream,divergent pattern,Divergent ,,,
openai-community,openai-community/gpt2,openai-community_gpt2,7561966,2025,3/2/2022,2/19/2024,903,8374.27021,transformers,text-generation,https://github.com/openai/gpt-2,119.680512,small,362.11776,medium,none,divergent pattern,Divergent ,,,
openai-community,openai-community/gpt2-large,openai-community_gpt2,424894,237,3/2/2022,2/19/2024,903,470.5359911,transformers,text-generation,https://github.com/openai/gpt-2,137.02272,small,362.11776,medium,none,divergent pattern,Divergent ,,,
openai-community,openai-community/gpt2-medium,openai-community_gpt2,570387,129,3/2/2022,2/19/2024,903,631.6578073,transformers,text-generation,https://github.com/openai/gpt-2,379.988992,medium,362.11776,medium,none,divergent pattern,Divergent ,,,
openai-community,openai-community/gpt2-xl,openai-community_gpt2,235054,287,3/2/2022,2/19/2024,903,260.303433,transformers,text-generation,https://github.com/openai/gpt-2,811.778816,medium,362.11776,medium,none,divergent pattern,Divergent ,,,
openai-community,openai-community/roberta-base-openai-detector,openai-community_roberta,174519,98,3/2/2022,4/10/2024,903,193.2657807,transformers,text-classification,https://github.com/openai/gpt-2-output-dataset,125.237762,small,240.824578,medium,downstream,divergent pattern,Divergent ,,,
openai-community,openai-community/roberta-large-openai-detector,openai-community_roberta,218189,17,3/2/2022,2/19/2024,903,241.6267996,transformers,text-classification,https://github.com/openai/gpt-2-output-dataset,356.411394,medium,240.824578,medium,downstream,divergent pattern,Divergent ,,,
Salesforce,Salesforce/ctrl,Salesforce_ctrl,13989,9,10/14/2022,10/25/2022,677,20.66322009,transformers,text-generation,https://github.com/salesforce/ctrl,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
shibing624,shibing624/text2vec-base-chinese,shibing624_text2vec,175412,596,3/2/2022,2/19/2024,903,194.2547065,sentence-transformers,sentence-similarity,https://github.com/shibing624/code-autocomplete,102.26816,small,109.961216,small,upstream,divergent pattern,Divergent ,,,
shibing624,shibing624/text2vec-base-multilingual,shibing624_text2vec,700763,37,3/2/2022,3/19/2023,903,776.0387597,sentence-transformers,sentence-similarity,https://github.com/shibing624/code-autocomplete,117.654272,small,109.961216,small,upstream,divergent pattern,Divergent ,,,
Babelscape,Babelscape/wikineural-multilingual-ner,Babelscape_wikineural,541454,101,4/10/2024,6/17/2024,133,4071.082707,transformers,token-classification,https://github.com/Babelscape/wikineural,177.270281,small,177.270281,small,downstream,divergent pattern,Divergent ,,,
FacebookAI,FacebookAI/xlm-roberta-base,FacebookAI_XLM,6456570,520,3/2/2022,2/19/2024,903,7150.13289,transformers,fill-mask,https://github.com/facebookresearch/XLM,278.885778,medium,466.6588307,medium,downstream,divergent pattern,Divergent ,,,
FacebookAI,FacebookAI/xlm-roberta-large,FacebookAI_XLM,4795949,286,3/2/2022,2/19/2024,903,5311.128461,transformers,fill-mask,https://github.com/facebookresearch/XLM,559.898632,medium,466.6588307,medium,downstream,divergent pattern,Divergent ,,,
FacebookAI,FacebookAI/xlm-roberta-large-finetuned-conll03-english,FacebookAI_XLM,98545,105,3/2/2022,9/5/2023,903,109.1306755,transformers,token-classification,https://github.com/facebookresearch/XLM,561.192082,medium,466.6588307,medium,downstream,divergent pattern,Divergent ,,,
Helsinki-NLP,Helsinki-NLP/opus-mt-tc-base-en-sh,Helsinki-NLP_challenge,14873,0,3/2/2022,8/16/2023,903,16.47065338,transformers,translation,https://github.com/Helsinki-NLP/Tatoeba-Challenge,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
Helsinki-NLP,Helsinki-NLP/opus-mt-tc-big-ar-en,Helsinki-NLP_challenge,19754,14,3/2/2022,8/16/2023,903,21.87596899,transformers,translation,https://github.com/Helsinki-NLP/Tatoeba-Challenge,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
Helsinki-NLP,Helsinki-NLP/opus-mt-tc-big-en-pt,Helsinki-NLP_challenge,12529,23,3/2/2022,8/16/2023,903,13.87486157,transformers,translation,https://github.com/Helsinki-NLP/Tatoeba-Challenge,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
Helsinki-NLP,Helsinki-NLP/opus-mt-tc-big-sh-en,Helsinki-NLP_challenge,27596,0,3/2/2022,8/16/2023,903,30.56035437,transformers,translation,https://github.com/Helsinki-NLP/Tatoeba-Challenge,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
Helsinki-NLP,Helsinki-NLP/opus-mt-tc-big-zls-en,Helsinki-NLP_challenge,16270,0,3/2/2022,8/16/2023,903,18.01771872,transformers,translation,https://github.com/Helsinki-NLP/Tatoeba-Challenge,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
hfl,hfl/chinese-bert-wwm-ext,hfl_chinese-model,302660,150,3/2/2022,2/24/2022,903,335.1716501,transformers,fill-mask,https://github.com/ymcui/Chinese-BERT-wwm,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
hfl,hfl/chinese-llama-2-1.3b,hfl_chinese-model,12843,14,3/2/2022,2/24/2022,903,14.22259136,transformers,text-generation,https://github.com/ymcui/Chinese-BERT-wwm,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
hfl,hfl/chinese-macbert-base,hfl_chinese-model,45151,110,3/2/2022,2/24/2022,903,50.00110742,transformers,fill-mask,https://github.com/ymcui/Chinese-BERT-wwm,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
hfl,hfl/chinese-roberta-wwm-ext,hfl_chinese-model,34716,245,3/2/2022,2/25/2022,903,38.44518272,transformers,fill-mask,https://github.com/ymcui/Chinese-BERT-wwm,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
hfl,hfl/chinese-roberta-wwm-ext-large,hfl_chinese-model,11096,166,3/2/2022,5/19/2021,903,12.28792913,transformers,fill-mask,https://github.com/ymcui/Chinese-BERT-wwm,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
stabilityai,stabilityai/stable-code-3b,stabilityai_stable-code,20655,619,10/30/2023,12/19/2023,296,69.78040541,transformers,text-generation,https://github.com/Stability-AI/StableCode,2795.4432,medium,2795.4432,medium,downstream,divergent pattern,Divergent ,,,
facebook,facebook/galactica-125m,facebook_galactica,78274,35,7/8/2022,2/14/2024,775,100.9987097,transformers,text-generation,https://github.com/facebookresearch/galactic,0,unknown,0,unknown,upstream,divergent pattern,Divergent ,,,
google,google/bigbird-pegasus-large-arxiv,google_bigbird,12481,44,3/2/2022,1/24/2023,903,13.82170543,transformers,summarization,https://github.com/google-research/bigbird,0,unknown,0,unknown,downstream,divergent pattern,Divergent ,,,
google,google/madlad400-3b-mt,google_multilingual,15493,70,3/2/2022,1/24/2023,903,17.1572536,transformers,translation,https://github.com/google-research/multilingual-t5,2940.374016,medium,490.062336,medium,downstream,divergent pattern,Divergent ,,,
google,google/mt5-base,google_multilingual,378659,165,3/2/2022,1/24/2023,903,419.3344408,transformers,text2text-generation,https://github.com/google-research/multilingual-t5,0,unknown,490.062336,medium,downstream,divergent pattern,Divergent ,,,
google,google/mt5-large,google_multilingual,38457,77,3/2/2022,1/24/2023,903,42.58803987,transformers,text2text-generation,https://github.com/google-research/multilingual-t5,0,unknown,490.062336,medium,downstream,divergent pattern,Divergent ,,,
google,google/mt5-small,google_multilingual,194815,84,3/2/2022,1/24/2023,903,215.7419712,transformers,text2text-generation,https://github.com/google-research/multilingual-t5,0,unknown,490.062336,medium,downstream,divergent pattern,Divergent ,,,
google,google/mt5-xl,google_multilingual,35838,18,3/2/2022,1/24/2023,903,39.68770764,transformers,text2text-generation,https://github.com/google-research/multilingual-t5,0,unknown,490.062336,medium,downstream,divergent pattern,Divergent ,,,
google,google/mt5-xxl,google_multilingual,48484,57,3/2/2022,1/24/2023,903,53.69213732,transformers,text2text-generation,https://github.com/google-research/multilingual-t5,0,unknown,490.062336,medium,downstream,divergent pattern,Divergent ,,,
llm-book,llm-book/bert-base-japanese-v3-ner-wikipedia-dataset,llm-book_bert,40662,8,6/21/2023,7/24/2023,427,95.22716628,transformers,token-classification,https://github.com/ghmagazine/llm-book,0,unknown,0,unknown,upstream,divergent pattern,Divergent ,,,
mlabonne,mlabonne/NeuralMonarch-7B,mlabonne_NeuralMonarch,12854,12,1/8/2024,1/15/2024,226,56.87610619,transformers,text-generation,https://github.com/mlabonne/llm-autoeval,7241.732096,large,7241.732096,large,downstream,divergent pattern,Divergent ,,,
